cct_type,cct_element,f_bus,t_bus,f_bus_x,f_bus_y,t_bus_x,t_bus_y,linestring,slijnem_b,slijnem_f,slijnem_b_p,slijnem_f_p,slijnem_b_m,slijnem_f_m,slijnem_b_r,slijnem_f_r
branch,line_4278_to_4295_1_cp,1885,7,-3.872,-4.61,-3.994,-4.568,"LINESTRING(-3.872 -4.61, -3.994 -4.568)",11.672907508506409,11.691375844037191,10.175728663857631,10.13836798666678,12.595875449739463,12.600153066237349,10.267340610954586,10.216300594760133
branch,line_1141_to_1569_1_cp,1855,1528,1.656,-0.482,2.314,-0.804,"LINESTRING(1.656 -0.482, 2.314 -0.804)",6.134906391978954,6.134883785738644,7.362157028947035,7.362335626687022,5.214592363598239,5.214592126626644,7.362162049299139,7.362371553700112
branch,xf_3581_to_3431_2_2winding_transformer_merged_with_line_3573_to_3581_2_cp,1417,296,-0.5,9.216,-0.628,8.776,"LINESTRING(-0.5 9.216, -0.628 8.776)",4.66957454981563,4.669535212172631,4.849311188562353,4.84931090301378,4.637167429582802,4.63712408412825,4.849311188290616,4.849310546799268
branch,xf_3504_to_3572_1_2winding_transformer,1783,107,-0.958,5.56,-1.204,5.762,"LINESTRING(-0.958 5.56, -1.204 5.762)",5.639270301089851,6.149609121597406,6.602825784617069,5.033388754196153,6.474913500863745,6.459325029771268,5.822934259772287,5.521340098110321
branch,line_3374_to_3503_1_cp,1011,548,0.132,6.204,-0.566,6.134,"LINESTRING(0.132 6.204, -0.566 6.134)",15.354527839570387,15.35104990319607,18.406664441595463,18.404269854799985,13.072222302574666,13.067659640420503,18.40636921719618,18.405427197040854
branch,xf_4312_to_4470_2_2winding_transformer,929,1764,-3.172,-5.92,-3.156,-6.078,"LINESTRING(-3.172 -5.92, -3.156 -6.078)",23.956880682787357,21.263346684013356,24.143571342517717,24.804513322524855,23.80715843012379,16.672955915049297,24.74168937528112,25.70845496814176
branch,line_1109_to_1143_1_cp,968,767,2.126,4.874,2.698,4.782,"LINESTRING(2.126 4.874, 2.698 4.782)",7.420449766472589,7.420448666186181,8.882749344258272,8.882749094380713,6.327335968523593,6.327326397319334,8.882749344252074,8.882749094688327
branch,xf_3486_3561_3488_2_3winding_transformer_br2,849,87,-2.5,12.724,-2.422,13.216,"LINESTRING(-2.5 12.724, -2.422 13.216)",11.254234238044287,10.115640383748127,11.879147459714613,12.766048966584245,10.689665992006036,7.647352978231031,12.670108910320401,13.00557645434579
branch,xf_4320_to_4476_3_2winding_transformer,819,1069,-3.89,-4.726,-4.156,-4.564,"LINESTRING(-3.89 -4.726, -4.156 -4.564)",6.50911220186036,6.508397759518656,7.786742355286755,7.760158385072609,5.543171811688912,5.545535486948809,7.78563554189043,7.756987360657839
branch,xf_5090_5200_5201_5_3winding_transformer_br3,236,133,1.7,-12.618,1.668,-12.604,"LINESTRING(1.7 -14.618, 1.668 -14.604)",13.219783219364325,13.220390203207206,15.86968476424205,15.875769039103425,11.236396172424922,11.236359927504415,15.870885033265262,15.87549130564929
branch,xf_2083_to_2086_1_2winding_transformer_merged_with_line_2083_to_2163_1_pi,1948,310,1.722,-8.108,1.848,-7.924,"LINESTRING(1.722 -8.108, 1.848 -7.924)",3.9366780036017213,3.9399549670208907,4.730223155592054,4.730974881426558,3.342648448064404,3.344822070663453,4.730662419941242,4.7292713243708855
branch,xf_1117_to_1176_3_2winding_transformer_merged_with_line_1176_to_1491_3_cp,50,1342,1.528,0.054,1.75,0.288,"LINESTRING(1.528 0.054, 1.75 0.288)",6.29444656187247,5.233209363604629,6.1342748772711575,4.923744508114068,6.301604696790275,5.270220726066944,6.250786350942206,4.354541059339369
branch,line_1599_to_1651_1_pi,1491,182,-2.188,3.922,-2.248,4.06,"LINESTRING(-2.188 3.922, -2.248 4.06)",9.797477207152614,9.808114984719573,11.727438757487961,11.726074510675488,8.375007680871441,8.376038117325885,11.72728787169082,11.725200720499972
branch,line_4238_to_4241_1_cp,1787,1973,-4.404,-5.008,-4.626,-4.952,"LINESTRING(-4.404 -5.008, -4.626 -4.952)",22.41414034169734,22.412300262132966,26.37362896258391,26.821674801102425,19.188592624143894,19.185155223487097,26.513702468078666,25.8577178259425
